name,lat,lon
Albany,-81.93,60.4
Atka,-86.98,169.7
Bilbao,-87.008,127.273
Binghamton,-73.53,339.5
BuenosAires,-81.901,4.75
Caterpillar,-74.22,168.5
Cryptic_Terrain,-77.55,131.98
Cortland,-82.69,273.1
Finger_Lake,-84.5,118
Geneseo,-85.18,92.0
Giza,-84.82,65.7
Inca_City,-81.38,295.8
Inca_City_Ridges,-81.46,296.3
Ithaca,-85.128,180.7
Macclesfield,-85.401,103.901
Manhattan_Classic,-86.39,99
Manhattan_Cracks,-86.25,99.0
Manhattan_Frontinella,-86.987,99.05
Manhattan2,-85.751,105.971
Oswego,-85.45,83
Oswego_Edge,-87.0,86.401
Pisaq,-86.8,178.0
Portsmouth,-87.302,167.801
Potsdam,-81.684,66.28
Rochester,-83.2,158.4
Schenectady,-85.0,95.0
Spider_Evo,-84.998,95.025
Starburst,-81.801,76.14
Starfish,-84.35,243
Troy,-85.02,259.0
Wellington,-82.2,225.2
Halifax,-87.0,72.3
